,Year,Reporter,Import/Export,Partner,Description,Value_USD
56971,2000,Thailand,Import,Singapore,"Machinery, appliances, and tools",2188960168.0
29142,2000,Singapore,Import,Saudi Arabia,"Minerals, stone, and their products",4088646151.0
92704,2000,Germany,Import,Austria,Paper and wood,1314706000.0
56731,2000,Argentina,Import,USA,"Machinery, appliances, and tools",2198576051.0
86573,2000,China,Import,Australia,"Minerals, stone, and their products",1416056572.0
1326,2000,Canada,Import,USA,Vehicles and their parts,36155193363.0
30076,2000,USA,Import,Norway,"Minerals, stone, and their products",3974304796.0
31226,2000,China,Import,"Other Asia, nes",plastics and rubber,3845669568.0
92217,2000,France,Import,Iraq,"Minerals, stone, and their products",1322671432.0
55388,2000,United Kingdom,Import,Russian Federation,Metals,2251270903.0
92236,2000,United Kingdom,Import,Netherlands,plastics and rubber,1322535694.0
31125,2000,Rep. of Korea,Import,Indonesia,"Minerals, stone, and their products",3855967379.0
